"","gene_short_name","term","q_value","normalized_effect"
"380","AC012360.1","tissueLP",0.831050586505814,-0.88553433318699
"381","AC012360.3","tissueLP",0.461641733192813,-0.572292891799972
"382","AC012368.1","tissueLP",1,0.100044310730789
"383","AC012414.5","tissueLP",1,0.020109174774909
"384","AC012447.1","tissueLP",9.07573460971779e-18,-1.2636802939371
"385","AC012459.1","tissueLP",1.00415324097805e-06,-0.908564136521679
"386","AC012485.3","tissueLP",1,-0.584952441603952
"387","AC012507.1","tissueLP",1,0.0201091747749067
"388","AC012507.3","tissueLP",0.050222780199944,0.780395982727236
"389","AC012615.1","tissueLP",1,-0.263773272555987
"390","AC012636.1","tissueLP",0.0284456959664218,-0.582317275801646
"391","AC012640.2","tissueLP",4.26569050263978e-07,-1.04381580488155
"392","AC012645.3","tissueLP",0.649521990552183,-0.577068770618305
"393","AC013264.1","tissueLP",0.00160836337014983,-0.571044621002685
"394","AC013270.1","tissueLP",0.19710405150454,-0.640230285293056
"395","AC013400.1","tissueLP",8.27956206858177e-06,-0.858677843041774
"396","AC013460.1","tissueLP",0.0512057817907794,0.826895078387974
"397","AC013472.2","tissueLP",1,0.0934724901086885
"398","AC013652.1","tissueLP",0.0525208459139398,-0.67244991636891
"399","AC015795.1","tissueLP",0.000268621293117222,-0.789552378383403
"400","AC015802.4","tissueLP",0.0335633973263326,-0.706630843546107
"401","AC015802.6","tissueLP",1,0.426985484342652
"402","AC015813.1","tissueLP",1,0.020109174774909
"403","AC015819.2","tissueLP",1,-0.325910401640045
"404","AC015849.1","tissueLP",1,-0.0572850057147041
"405","AC015849.3","tissueLP",0.000173238759933582,2.4157039265066e-11
"406","AC015871.1","tissueLP",0.00902348725371773,-0.646338381608442
"407","AC015871.7","tissueLP",0.240751949706346,-0.660063007620452
"408","AC015912.3","tissueLP",1,-0.113991921696957
"409","AC015923.1","tissueLP",1,0.210076657837503
"410","AC015971.1","tissueLP",1,-0.310869069618638
"411","AC015982.2","tissueLP",0.00350164981231678,-0.66147877266474
"412","AC015987.1","tissueLP",1,0.0825068468375891
"413","AC016027.1","tissueLP",1,-0.928651893645901
"414","AC016065.1","tissueLP",1,-0.259525712070512
"415","AC016074.2","tissueLP",2.16977184263421e-14,-0.908213502373532
"416","AC016394.1","tissueLP",0.00531971522317487,-1.08077194198529
"417","AC016405.1","tissueLP",1,-0.164099124854027
"418","AC016405.3","tissueLP",8.37844330501987e-11,-1.14214825448105
"419","AC016526.4","tissueLP",1,-0.995554068035963
"420","AC016590.1","tissueLP",1,-0.540189575499372
"421","AC016596.1","tissueLP",0.00587480271116471,-0.933654368785431
"422","AC016727.1","tissueLP",1,-0.523851364319792
"423","AC016747.1","tissueLP",0.147777667644769,-0.644228466374621
"424","AC016773.1","tissueLP",1,-0.556498428660345
"425","AC016821.1","tissueLP",0.000747481559231009,-1.11993851894144
"426","AC016831.1","tissueLP",1,-0.0780002268181401
"427","AC016831.5","tissueLP",1,-0.278943932922059
"428","AC016831.7","tissueLP",3.41210903537735e-32,-0.55122890277912
"429","AC016876.1","tissueLP",1,-0.0501683862517333
"430","AC016949.1","tissueLP",1,-0.476656604586391
"431","AC017002.1","tissueLP",1,0.0644997800082378
"432","AC017002.3","tissueLP",1,0.478209727774832
"433","AC017002.5","tissueLP",1,-0.239377182956984
"434","AC017083.1","tissueLP",1.94294515247504e-10,-1.07359551630726
"435","AC017083.2","tissueLP",1,0.0102292178746611
"436","AC017101.1","tissueLP",1,0.364536970804761
"437","AC017104.1","tissueLP",0.986136954746449,-0.610237807240241
"438","AC018362.1","tissueLP",1,0.342269083176244
"439","AC018521.5","tissueLP",2.38133337966054e-08,-0.863690689934919
"440","AC018557.3","tissueLP",1,0.603444656454063
"441","AC018647.1","tissueLP",1,-0.307486935747892
"442","AC018647.2","tissueLP",0.000290117734107992,-0.864313136041334
"443","AC018653.3","tissueLP",1,-0.60478516389502
"444","AC018682.1","tissueLP",1,0.360823225605479
"445","AC018742.1","tissueLP",1,-0.182255566548466
"446","AC018754.1","tissueLP",2.40726038134319e-19,-1.51591937784443
"447","AC018797.3","tissueLP",1,-0.300579651251241
"448","AC018816.1","tissueLP",8.85875530241826e-39,-1.22091751020829
"449","AC018845.3","tissueLP",1,-0.464729341082456
"450","AC018926.2","tissueLP",1,-0.0348397520650373
"451","AC019077.1","tissueLP",1,-0.784752861798356
"452","AC019117.2","tissueLP",4.78317156778089e-06,-0.934325186393127
"453","AC019129.2","tissueLP",1,-0.882262221885842
"454","AC019163.1","tissueLP",0.247413211888372,-0.592462252460486
"455","AC019205.1","tissueLP",1,-0.214626358800932
"456","AC020558.1","tissueLP",1,0.0788077191774933
"457","AC020651.2","tissueLP",0.136872199768403,-0.975444894767536
"458","AC020656.2","tissueLP",1,-0.51768210233334
"459","AC020659.1","tissueLP",2.52512975512716e-13,-1.19738672177613
"460","AC020765.2","tissueLP",1,-0.361142876062973
"461","AC020900.1","tissueLP",1,0.576539038138196
"462","AC020910.5","tissueLP",1,0.303575672314751
"463","AC020911.2","tissueLP",9.34104364263759e-07,-1.0043000959652
"464","AC020913.1","tissueLP",1,0.558949382797969
"465","AC020915.2","tissueLP",1,-0.449673016822519
"466","AC020916.1","tissueLP",1,-0.187139825505006
"467","AC020922.4","tissueLP",1,-0.124790844580633
"468","AC021028.1","tissueLP",1,-0.224782312918293
"469","AC021054.1","tissueLP",8.0837215345115e-05,-0.825307496857092
"470","AC021086.1","tissueLP",1,-0.255870276625565
"471","AC021092.1","tissueLP",1,-1.01718267823096
"472","AC021127.1","tissueLP",0.0174436418727263,0.761346927946623
"473","AC021151.1","tissueLP",0.0281094063957573,-1.1006155700747
