,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
7087,11106,FEB4,ENSG00000164199,0.001759716620047887,0.14725410756624022,0.432241717399899,6,0
4803,7250,SLC31A1,ENSG00000136868,0.001755397766828537,0.10833965216581681,0.36548814411577735,4,0
5277,7987,IMPA2,ENSG00000141401,0.001753691364737118,0.008831487229613692,0.06642898598171626,17,0
9373,15869,ZNF669,ENSG00000188295,0.0017521455883979797,0.01324347492246844,0.08935597419386254,12,0
8504,13829,SMCR8,ENSG00000176994,0.0017509965433014764,0.17261034637505246,0.4680740371969371,9,0
4538,6840,MESRGP,ENSG00000134690,0.001745171844959259,0.4175405041753878,0.7198095016541154,1,0
6138,9452,MUDHLOV,ENSG00000152904,0.0017418027633712405,0.02901662317943805,0.1556451667345057,21,0
6946,10868,NUAK2,ENSG00000163545,0.0017413809895515443,0.19912206341419103,0.5012157429158708,5,0
7865,12540,C5ORF4,ENSG00000170271,0.0017330721020698547,0.09546394467744178,0.3366254525427612,5,0
2045,2968,XPD,ENSG00000104884,0.001732730730013414,0.05140870340336824,0.22945193638874897,11,0
7457,11804,TEF,ENSG00000167074,0.0017316838105519612,0.16450088202521929,0.4564835650198015,3,0
5295,8015,CCDC40,ENSG00000141519,0.0017233431339263917,0.15105604914760531,0.43671360894746225,5,0
10423,18325,CD302,ENSG00000241399,0.0017233214208057948,0.6408852983993346,0.86052753524202,7,0
5982,9187,CHAPSYN-110,ENSG00000150672,0.0017214818642689632,0.12580070493918533,0.39670538381448817,13,0
