standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
POP1,2886,POP1,ENSG00000104356,0.0002058180315153,0.7850349152362903,0.9498927465868432,7,0,0.022325428600704633
FAM8A1,7358,AHCP,ENSG00000137414,0.0002054978500713,0.6937745254771142,0.9301151308686766,22,0,0.03146329057911955
HMMR,1193,HMMR,ENSG00000072571,0.00020548949639,0.7414944284380119,0.9403259691934496,6,0,0.02672156971761638
ELAPOR2,11221,ELAPOR2,ENSG00000164659,0.0002053715288639,0.8664109420857865,0.9740928454361664,12,0,0.011399646469554508
NBDY,17093,NOBODY,ENSG00000204272,0.0002053469620846,0.4475694791292348,0.8294569221837541,74,0,0.08120616412267195
PHLDA1,7693,DT1P1B11,ENSG00000139289,0.0002052500654178,0.1068271757803239,0.4876860750922943,157,0,0.31185964464815913
CTNNAL1,4844,ALPHA-CATU,ENSG00000119326,0.0002049988713757,0.6993520533371389,0.9301151308686766,29,0,0.03146329057911955
BFAR,2798,RNF47,ENSG00000103429,0.0002042698936584,0.5770034408382743,0.8857856112248227,39,0,0.05267137870966483
TIGD7,7940,SANCHO,ENSG00000140993,0.0002037642730606,0.8567558859900731,0.9704660337826796,9,0,0.013019660274482998
PEX13,10696,PEX13,ENSG00000162928,0.0002035779111525,0.9062312306185992,0.9838451491730136,17,0,0.007073251316447765
NFATC2,2420,NFAT1,ENSG00000101096,0.0002034070867079,0.3708351685457014,0.785311034942958,135,0,0.10495829993572797
